,time delay,stg_pos,V_in,V_out,ratio,DVD,poly fit,poly res,Residual FFT,Associated F,Sine Res Fit
0,-19.0,51.0005,-39.06177,8.48164,4.605755,4.0780295e-05,-17.57951214684386,-21.482257853156142,1.4450669606200583e-23,0.0,-7.731763558499475
1,-18.0,51.175650000000005,-39.07084,8.48014,4.607635,4.110411e-05,-31.11835347687871,-7.952486523121287,443.67390730282415,0.017241379310344827,-1.5153047795623509
2,-17.0,51.326375,-39.08442,8.488185,4.60482,4.101857e-05,-41.317636327826655,2.2332163278266535,67655.69159645577,0.034482758620689655,4.748610852269355
3,-16.0,51.476125,-39.06984,8.499775,4.596915,4.0987845e-05,-48.525054481562385,9.455214481562386,193810.9726964405,0.05172413793103448,10.309115202559761
4,-15.0,51.624925,-39.09149,8.496255,4.60139,4.1015670000000006e-05,-53.070419556047604,13.978929556047603,155807.58635459546,0.06896551724137931,14.49965945848518
5,-14.0,51.775275,-39.074875,8.501785,4.59656,4.1055315e-05,-55.26596750209914,16.19109250209914,45867.81674782139,0.08620689655172414,16.817914672361876
6,-13.0,51.9241,-39.073365,8.49775,4.59859,4.0969205e-05,-55.40666510015685,16.333300100156848,37660.039550518944,0.10344827586206896,16.9859869404559
7,-12.0,52.075825,-39.07537,8.49574,4.5997900000000005,4.0960785e-05,-53.770516457051606,14.695146457051607,55147.88468916941,0.12068965517241378,14.98372910277792
8,-11.0,52.225675,-39.070845,8.506310000000001,4.5934550000000005,4.091158e-05,-50.618869502773215,11.548024502773217,22373.045614632425,0.13793103448275862,11.051155823573543
9,-10.0,52.37635,-39.06178,8.515385,4.5875900000000005,4.084744e-05,-46.19672248723848,7.134942487238483,17964.484924614924,0.15517241379310345,5.659672551965189
10,-9.0,52.527150000000006,-39.06831,8.506325,4.59317,4.09269e-05,-40.73303047705908,1.6647204770590847,22857.959976480404,0.1724137931034483,-0.5444327950416207
11,-8.0,52.67515,-39.090975,8.51336,4.5919550000000005,4.100583e-05,-34.44101185230955,-4.64996314769045,10878.997896837056,0.1896551724137931,-6.817461661853756
12,-7.0,52.825275,-39.078895,8.500775,4.597415,4.080766e-05,-27.518454803295285,-11.560440196704718,9088.089359491942,0.20689655172413793,-12.407453492273767
13,-6.0,52.973175000000005,-39.078395,8.50078,4.59741,4.069577e-05,-20.148023827320493,-18.930371172679507,14908.320841454686,0.22413793103448276,-16.644324750072464
14,-5.0,53.12497499999999,-39.074375,8.51135,4.591065,4.067622e-05,-12.49756622545614,-26.576808774543863,7706.4800274007075,0.24137931034482757,-19.020193176903085
15,-4.0,53.27475,-39.09651,8.5048,4.59726,4.082024e-05,-4.720418599307944,-34.37609140069206,5203.540384672276,0.25862068965517243,-19.250258657602238
16,-3.0,53.425275,-39.09147,8.512355,4.592555,4.09024e-05,3.044286652215682,-42.13575665221568,6074.486944125029,0.27586206896551724,-17.30694278140513
17,-2.0,53.576275,-38.99833,8.520914999999999,4.576995,4.09376e-05,10.671314836135638,-49.66964483613564,2943.173677294835,0.29310344827586204,-13.423194721376063
18,-1.0,53.72645,-30.745275,8.49825,3.617735,4.1155145e-05,18.049022468634195,-48.7942974686342,2052.61510585577,0.3103448275862069,-8.064567149654113
19,0.0,53.875775,34.679915,8.417175,-4.13817278,4.0916135e-05,25.079050778287005,9.600864221712996,2526.1568495297406,0.3275862068965517,-1.8734095045791541
20,1.0,54.0243,109.10442,8.36732,-13.042635,4.0881595e-05,31.676019209295156,77.42840079070484,1024.8956756358234,0.3448275862068966,4.4081317252639
