,time delay,stg_pos,V_in,V_out,ratio,DVD,poly fit,poly res,Residual FFT,Associated F,Sine Res Fit
0,105.0,69.6005,110.9553,3.8973,-28.588865,4.1237485e-05,113.29560129729546,-2.3403012972954684,7.762896178354098e-23,0.0,-3.025436215065965
1,110.0,70.35735,110.9519,3.890575,-28.61982,4.133195e-05,111.27325594529431,-0.32135594529431444,0.12302136352609559,0.004878048780487805,-0.9473781118688235
2,115.0,71.10715,110.9738,3.917455,-28.41807,4.118665e-05,109.12098251895702,1.852817481042976,70.91396892245005,0.00975609756097561,1.7823363401809942
3,120.0,71.85657499999999,110.25705,3.93257,-28.129535,4.106337e-05,106.87239978793347,3.384650212066532,21.024534487709026,0.014634146341463414,3.451665869858734
4,125.0,72.606375,107.40035,3.89225,-27.733055,4.1188765e-05,104.55757005740017,2.842779942599833,149.54972803191313,0.01951219512195122,3.0136287872164518
5,130.0,73.35745,102.35825,3.84863,-26.702965,4.0922505e-05,102.20316207148305,0.15508792851694864,3595.7165199311553,0.024390243902439025,0.742956232446226
6,135.0,74.1069,97.33448,3.892265,-25.126445,4.120393e-05,99.83261391668181,-2.498133916681809,917.7994855326926,0.029268292682926828,-1.9362156089675098
7,140.0,74.855925,93.316225,3.873795,-24.21102,4.100283e-05,97.46629592529318,-4.1500709252931784,158.8217070120214,0.03414634146341464,-3.3435451314186717
8,145.0,75.60657499999999,91.6512,3.86541,-23.80547,4.103531e-05,95.12167357883463,-3.4704735788346284,61.4714485755575,0.03902439024390244,-2.5963736294005173
9,150.0,76.35815,91.95336,3.88555,-23.727135,4.116271e-05,92.8134704114679,-0.8601104114679003,58.819577694950866,0.04390243902439024,-0.1633173155639454
10,155.0,77.106225,92.58108,3.91408,-23.729935,4.121666e-05,90.55383091342269,2.0272490865773136,24.79659264227395,0.04878048780487805,2.4296426506425988
11,160.0,77.856,91.75024,3.87547,-23.753175,4.1089015e-05,88.35248343442039,3.3977565655796127,20.24610302588877,0.05365853658536585,3.556235626351848
12,165.0,78.6083,88.861545,3.87885,-22.980215,4.110194e-05,86.21690308709769,2.6446419129023155,19.203057552038157,0.058536585365853655,2.5098772034995416
13,170.0,79.357075,84.44046,3.79661,-22.333285,4.1171905000000005e-05,84.15247465042957,0.28798534957043387,12.84811607776336,0.06341463414634146,-0.05317027403746809
14,175.0,80.1062,79.47889,3.79321,-21.052625,4.1056075e-05,82.1626554731541,-2.6837654731540965,12.564497579753276,0.06829268292682927,-2.5253968858143025
15,180.0,80.85815,76.86048500000001,3.831835,-20.14578,4.1336485e-05,80.24913837719481,-3.3886533771947995,17.546415498498106,0.07317073170731707,-3.3562543728349636
16,185.0,81.606025,76.450985,3.857045,-19.88138,4.1277305000000006e-05,78.41201456108578,-1.9610295610857804,11.691789967348415,0.07804878048780488,-2.024639765073674
17,190.0,82.35705,77.496665,3.88556,-20.02367,4.110992e-05,76.64993650339318,0.8467284966068149,14.818972168949646,0.08292682926829269,0.6342756380902016
18,195.0,83.107125,78.30901,3.90567,-20.12061,4.093086e-05,74.96028086614096,3.348729133859038,13.079472631984855,0.08780487804878048,2.952854804697725
19,200.0,83.856675,77.362365,3.868745,-20.064855,4.115396e-05,73.33931139823362,4.023053601766378,8.407313797708058,0.09268292682926829,3.476915147682677
20,205.0,84.6062,74.05408,3.86039,-19.251,4.108954e-05,71.78234183887925,2.2717381611207514,9.39755306470356,0.0975609756097561,1.8777728608950202
21,210.0,85.35582500000001,70.00058,3.826785,-18.36848,4.132017e-05,70.28389882101406,-0.28331882101406336,9.39755306470356,-0.0975609756097561,-0.8416108882488894
22,215.0,86.108825,65.98062,3.826805,-17.326585,4.113265e-05,68.83788477472577,-2.8572647747257633,8.407313797708058,-0.09268292682926829,-2.9756741105321343
23,220.0,86.858375,64.02353500000001,3.865425,-16.648735,4.1142585e-05,67.43774083067662,-3.4142058306766074,13.079472631984855,-0.08780487804878048,-3.1859602105375022
24,225.0,87.607825,64.245075,3.853665,-16.744419999999998,4.103938500000001e-05,66.07660972352812,-1.8315347235281223,14.818972168949646,-0.08292682926829269,-1.3405804913708077
25,230.0,88.35765,65.61472,3.919115,-16.80527,4.1050635e-05,64.74749869536367,0.8672213046363311,11.691789967348415,-0.07804878048780488,1.4030669762935508
26,235.0,89.1075,66.334815,3.935925,-16.927699999999998,4.086206e-05,63.44344239911268,2.8913726008873226,17.546415498498106,-0.07317073170731707,3.324202315715955
27,240.0,89.856175,64.94165000000001,3.877145,-16.825875,4.0894645e-05,62.157665801973565,2.7839841980264453,12.564497579753276,-0.06829268292682927,3.217914520095074
28,245.0,90.6068,61.468895,3.8503,-16.023925,4.094016e-05,60.88374708883856,0.5851479111614424,12.84811607776336,-0.06341463414634146,1.1508659073864733
29,250.0,91.35895,57.49257,3.8218,-15.08727,4.099571e-05,59.61578056571663,-2.123210565716633,19.203057552038157,-0.058536585365853655,-1.580517615323662
30,255.0,92.1079,54.686165,3.853655,-14.252350000000002,4.1099685e-05,58.34853956315598,-3.6623745631559785,20.24610302588877,-0.05365853658536585,-3.2631479574801223
31,260.0,92.857275,53.882225000000005,3.8486,-14.03117,4.1124365e-05,57.07763933967017,-3.1954143396701653,24.79659264227395,-0.04878048780487805,-2.841701333174219
32,265.0,93.608425,54.859075,3.882195,-14.1662,4.1129565e-05,55.79969998515911,-0.9406249851591113,58.819577694950866,-0.04390243902439024,-0.5805035636977365
33,270.0,94.35785,56.404955,3.89228,-14.52938,4.106157e-05,54.51250932433476,1.8924456756652432,61.4714485755575,-0.03902439024390244,2.1022516271193705
34,275.0,95.10495,56.856445,3.85702,-14.77897,4.130076e-05,53.21518582014454,3.64125917985546,158.8217070120214,-0.03414634146341464,3.5239752037014798
35,280.0,95.857825,55.078970000000005,3.840235,-14.39141,4.101079e-05,51.908341477191996,3.170628522808009,917.7994855326926,-0.029268292682926828,2.79298069768776
36,285.0,96.607375,51.42995,3.828505,-13.462615,4.118267e-05,50.59424474516547,0.8357052548345294,3595.7165199311553,-0.024390243902439025,0.3677383210061726
37,290.0,97.356425,47.809495,3.836865,-12.49953,4.0908845e-05,49.27698342225666,-1.4674884222566646,149.54972803191313,-0.01951219512195122,-2.2306715662770413
38,295.0,98.108075,45.35555,3.883875,-11.71453,4.0973785e-05,47.96262755858788,-2.607077558587882,21.024534487709026,-0.014634146341463414,-3.3725602019374015
39,300.0,98.858075,45.367335,3.85368,-11.809855,4.1256845e-05,46.659392359634495,-1.292057359634498,70.91396892245005,-0.00975609756097561,-2.3417499396555206
40,305.0,99.6076,46.975285,3.914095,-12.04661,4.112132e-05,45.377801089647456,1.597483910352544,0.12302136352609559,-0.004878048780487805,0.21524848003918207
