,time delay,stg_pos,V_in,V_out,ratio,DVD,poly fit,poly res,Residual FFT,Associated F,Sine Res Fit
0,-19.0,51.0005,-39.726435,3.1425650000000003,12.65147,4.2211365e-05,-6.498304649700444,-33.22813035029956,5.29993359273478e-24,0.0,-11.280052209896665
1,-18.0,51.1764,-39.744575,3.155665,12.609245,4.2348965e-05,-26.544000971981873,-13.200574028018124,1843.491113970544,0.017857142857142856,-0.6027126633590383
2,-17.0,51.325375,-39.743055,3.154165,12.61578,4.231152e-05,-42.028146982229,2.2850919822290052,225462.5993156716,0.03571428571428571,9.817426715379899
3,-16.0,51.475675,-39.733505,3.13753,12.68189,4.241833e-05,-53.32969877315938,13.596193773159378,559504.8077605224,0.05357142857142857,18.831190801751326
4,-15.0,51.624675,-39.718895,3.14055,12.661515,4.213953e-05,-60.818055306190004,21.09916030619,348854.8640152036,0.07142857142857142,25.44450522781304
5,-14.0,51.7752,-39.72494,3.128465,12.711115,4.2095635e-05,-64.85269494107698,25.12775494107698,66440.45242579155,0.08928571428571427,28.928026924998427
6,-13.0,51.924575,-39.72594,3.1239350000000004,12.73389,4.224821e-05,-65.7828119655552,26.056871965555196,112283.16502094893,0.10714285714285714,28.897579028219738
7,-12.0,52.0754,-39.734495,3.117375,12.76359,4.220026e-05,-63.946953124978364,24.21245812497836,86560.33925949635,0.125,25.356519454708426
8,-11.0,52.225425,-39.744065,3.112845,12.78419,4.2174665e-05,-59.672654151958625,19.928589151958626,26593.425131368593,0.14285714285714285,18.695370579318464
9,-10.0,52.375975,-39.737515,3.120405,12.750255,4.218049e-05,-53.27607629600641,13.538561296006407,39972.387427608985,0.1607142857142857,9.648750847199086
10,-9.0,52.527475,-39.749105,3.14407,12.65423,4.205351e-05,-45.06164285317021,5.3125378531702125,37472.18041976792,0.17857142857142855,-0.7856419201793634
11,-8.0,52.6762,-39.74456,3.19847,12.44301,4.219488e-05,-35.32167569567646,-4.422884304323539,22738.26415827754,0.19642857142857142,-11.457060676888068
12,-7.0,52.825125,-39.73601,3.201495,12.422195,4.221434e-05,-24.33603180156919,-15.399978198430809,27431.134861578324,0.21428571428571427,-21.188618192024087
13,-6.0,52.973425,-39.72946,3.202495,12.41615,4.209199e-05,-12.371739784349984,-27.35772021565002,21359.039037673545,0.23214285714285712,-28.907078934542312
14,-5.0,53.1253,-39.72845,3.195945,12.44152,4.194303e-05,0.31736357738242305,-40.045813577382425,10959.537572081457,0.25,-33.76121982931196
15,-4.0,53.275200000000005,-39.712855000000005,3.17228,12.52525,4.2163645e-05,13.490996810292138,-53.20385181029214,13077.089805547617,0.26785714285714285,-35.21570658139993
16,-3.0,53.425325,-39.7194,3.190915,12.45388,4.206658e-05,26.92279721666644,-66.64219721666643,9350.063157891971,0.2857142857142857,-33.11013250777044
17,-2.0,53.57705,-39.65898,3.176805,12.492755,4.216297e-05,40.400684344775975,-80.05966434477597,3671.1013634025985,0.30357142857142855,-27.67670883520313
18,-1.0,53.727250000000005,-31.19293,3.209535,9.76365,4.215133e-05,53.72722345923492,-84.92015345923492,5032.27745452271,0.3214285714285714,-19.514655506810975
19,0.0,53.877975000000006,62.01826,3.357095,-18.142813015,4.217358e-05,66.7199890113612,-4.701729011361209,3867.4572670913217,0.33928571428571425,-9.524116782615135
20,1.0,54.0256,181.94475,3.559,-51.16644,4.2071735e-05,79.21192810953674,102.73282189046326,1807.0576758402872,0.3571428571428571,1.193110310915432
21,2.0,54.17379999999999,168.5068,3.5449150000000005,-47.55829,4.203229e-05,91.05172398956759,77.4550760104324,3886.4388259092716,0.375,11.455086614178995
22,3.0,54.313175,157.99785,3.49456,-45.29502,4.1727275e-05,102.10415948504419,55.89369051495581,2227.061487442105,0.39285714285714285,20.130079866406938
23,4.0,54.477,160.98007142857142,3.43485,-46.95044285714285,4.168008571428571e-05,112.25048049770155,48.729590930869875,890.5723781894077,0.4107142857142857,26.261376717718015
24,4.5,54.49183333333334,160.18316666666666,3.48785,-45.97936666666666,4.238828333333333e-05,116.95132848524493,43.231838181421736,1733.6514087841347,0.42857142857142855,28.148580959270262
25,5.0,54.623375,157.56824999999998,3.42607,-46.07768,4.20646e-05,121.38875946777944,36.17949053222054,255.53381251356706,0.4464285714285714,29.172792947654543
26,6.0,54.77605,147.54185,3.42357,-43.189975,4.190137e-05,129.4342588443826,18.1075911556174,518.7675320285501,0.46428571428571425,28.543245796466152
27,7.0,54.9261,146.19580000000002,3.43917,-42.568705,4.209317e-05,136.31979455584104,9.876005444158977,782.9214635790253,0.4821428571428571,24.442164270771023
28,8.0,55.073575000000005,147.31775,3.441185,-42.867735,4.191653e-05,141.9960994800701,5.321650519929904,10.062414435074164,-0.5,17.32183223183626
