time delay,stg_pos,V_in,V_out,ratio,DVD
101.0,69.0005,17.74126,8.642765,-2.053185,4.14474e-05
102.0,69.173925,17.699965,8.654340000000001,-2.0457799999999997,4.1718800000000005e-05
103.0,69.3237,17.629974999999998,8.655339999999999,-2.037465,4.1481585e-05
104.0,69.47375,17.558975,8.654865,-2.02935,4.148817e-05
105.0,69.624675,17.51466,8.646795000000001,-2.0262000000000002,4.1396579999999995e-05
106.0,69.7751,17.500055,8.64779,-2.0241,4.1641865e-05
107.0,69.9259,17.509135,8.644275,-2.025845,4.153257e-05
108.0,70.076375,17.52372,8.657354999999999,-2.02433,4.170799e-05
109.0,70.22447500000001,17.61789,8.65938,-2.034795,4.1435615e-05
110.0,70.37525,17.750315,8.667945,-2.0480150000000004,4.153439e-05
111.0,70.525225,17.956780000000002,8.690605,-2.066455,4.1408150000000004e-05
112.0,70.674825,18.19645,8.677005,-2.0972049999999998,4.1456535e-05
113.0,70.826175,18.43766,8.683045,-2.1236550000000003,4.139849e-05
114.0,70.975725,18.591735,8.684560000000001,-2.1410299999999998,4.1408735e-05
115.0,71.1269,18.831415,8.663915,-2.17373,4.1572499999999995e-05
116.0,71.278075,18.98751,8.669450000000001,-2.19039,4.1490335e-05
117.0,71.427125,19.11744,8.678525,-2.203185,4.1583675e-05
118.0,71.57595,19.2111,8.672985,-2.215555,4.1547825000000004e-05
119.0,71.7256,19.192974999999997,8.684045000000001,-2.21006,4.1658709999999995e-05
120.0,71.87519999999999,19.1255,8.665420000000001,-2.20725,4.1578855e-05
121.0,72.025175,19.005645,8.67198,-2.191885,4.1453345e-05
122.0,72.17595,18.837465,8.66995,-2.173,4.1723085e-05
123.0,72.32554999999999,18.66123,8.668429999999999,-2.15312,4.1335035e-05
124.0,72.47742500000001,18.367655,8.66191,-2.12063,4.143407e-05
125.0,72.62604999999999,18.011655,8.6614,-2.0795500000000002,4.1373434999999995e-05
126.0,72.77574999999999,17.5212,8.680015000000001,-2.01853,4.1570335e-05
127.0,72.92597500000001,17.043345,8.675495,-1.9644749999999997,4.1604659999999995e-05
128.0,73.074725,16.569025,8.65737,-1.91385,4.1511405e-05
129.0,73.225075,16.080075,8.62766,-1.86387,4.156279e-05
130.0,73.376,15.560910000000002,8.620614999999999,-1.80546,4.1335945e-05
131.0,73.526625,14.89776,8.63018,-1.72679,4.1479905e-05
132.0,73.6772,14.40228,8.622125,-1.670795,4.1459555e-05
133.0,73.82792500000001,13.770325,8.61407,-1.5989900000000001,4.1635190000000003e-05
134.0,73.975975,13.189760000000001,8.611545,-1.531925,4.159144e-05
135.0,74.1263,12.619235,8.616065,-1.465,4.153617e-05
136.0,74.275875,11.95859,8.597449999999998,-1.39124,4.16016e-05
137.0,74.425,11.337715,8.627655,-1.314365,4.154764e-05
138.0,74.574675,10.94042,8.63269,-1.267715,4.1402414999999996e-05
139.0,74.72555,10.46558,8.63621,-1.212265,4.1658825e-05
140.0,74.8762,10.15692,8.630675,-1.1773099999999999,4.141031e-05
141.0,75.026375,9.87895,8.637735,-1.14406,4.142407e-05
142.0,75.1757,9.674510000000001,8.64378,-1.11953,4.1337e-05
143.0,75.3257,9.533535,8.649825,-1.102405,4.1460234999999996e-05
144.0,75.47585000000001,9.408655,8.657869999999999,-1.08691,4.1312675e-05
145.0,75.625125,9.36434,8.66391,-1.081045,4.14589e-05
146.0,75.775225,9.399094999999999,8.66845,-1.08454,4.133728e-05
147.0,75.92592499999999,9.47411,8.678014999999998,-1.091915,4.140156e-05
148.0,76.076525,9.602015,8.669464999999999,-1.10782,4.133979e-05
149.0,76.22727499999999,9.771695,8.66442,-1.1281649999999999,4.1381285e-05
150.0,76.377475,10.022465,8.649809999999999,-1.159015,4.1324935e-05
151.0,76.5258,10.24352,8.655355,-1.183925,4.145878e-05
152.0,76.67609999999999,10.456014999999999,8.65836,-1.207945,4.1520755e-05
153.0,76.8249,10.63278,8.65436,-1.228985,4.140921e-05
154.0,76.975225,10.801449999999999,8.65837,-1.24779,4.131195e-05
155.0,77.1258,10.954004999999999,8.6755,-1.262955,4.1371725e-05
156.0,77.27664999999999,11.04567,8.677505,-1.2731400000000002,4.1224345e-05
157.0,77.4274,11.088465,8.68355,-1.277205,4.1139685e-05
158.0,77.57745,11.07134,8.699665,-1.27277,4.1435315e-05
159.0,77.7259,11.01243,8.691095,-1.26723,4.1579715000000005e-05
160.0,77.875725,10.925324999999999,8.67348,-1.2598850000000001,4.161767e-05
161.0,78.0251,10.797414999999999,8.650305,-1.24838,4.1808965e-05
162.0,78.175275,10.616145,8.664405,-1.22543,4.168987e-05
163.0,78.32575,10.38653,8.658355,-1.19974,4.157113e-05
164.0,78.4755,10.028505,8.673485,-1.156285,4.1414445000000004e-05
165.0,78.6262,9.575334999999999,8.666934999999999,-1.10486,4.155058e-05
166.0,78.77747500000001,9.12063,8.665420000000001,-1.05244902,4.1471505e-05
167.0,78.92632499999999,8.71174,8.6639,-1.0056000150000002,4.1564615e-05
168.0,79.0753,8.229865,8.66644,-0.949598945,4.138659e-05
169.0,79.22547499999999,7.7288499999999996,8.67046,-0.8915277400000001,4.137181e-05
170.0,79.37505,7.20869,8.66341,-0.83218043,4.1447475e-05
171.0,79.525025,6.603425,8.658384999999999,-0.76268868,4.1398935e-05
172.0,79.675925,6.063605,8.65738,-0.70047401,4.150264e-05
173.0,79.825775,5.5258400000000005,8.661395,-0.6380676399999999,4.1431474999999996e-05
174.0,79.976325,5.004175,8.66341,-0.577681905,4.1318270000000005e-05
175.0,80.12604999999999,4.599819999999999,8.666425,-0.53073739,4.147171e-05
176.0,80.275225,4.220174999999999,8.666419999999999,-0.48688826,4.1488805e-05
177.0,80.42530000000001,3.942205,8.675495,-0.45434351,4.148886e-05
178.0,80.57445,3.63605,8.672475,-0.419135355,4.1560194999999995e-05
179.0,80.724775,3.4049350000000005,8.67246,-0.39247804,4.1664265e-05
180.0,80.87545,3.20955,8.669450000000001,-0.370204195,4.150496e-05
181.0,81.02605,3.088705,8.67851,-0.355932605,4.142434e-05
182.0,81.17677499999999,3.04035,8.68757,-0.350071075,4.1549775e-05
183.0,81.32764999999999,3.0267600000000003,8.686060000000001,-0.34859827,4.1523335e-05
184.0,81.476,3.09221,8.698654999999999,-0.355591675,4.1361244999999996e-05
185.0,81.625675,3.20903,8.700665,-0.36904959000000004,4.1330675e-05
186.0,81.77565,3.4311149999999997,8.687065,-0.39515188,4.1280185e-05
187.0,81.9248,3.646125,8.69463,-0.41949974,4.14848e-05
188.0,82.076225,3.871695,8.70872,-0.444749235,4.1410735e-05
189.0,82.22585000000001,4.163765,8.68909,-0.47926267000000006,4.160031e-05
190.0,82.376825,4.43164,8.71023,-0.508889455,4.1565539999999996e-05
191.0,82.52725000000001,4.672845000000001,8.718795,-0.535979145,4.1412175e-05
192.0,82.67635,4.893895,8.719800000000001,-0.56142316,4.1620975e-05
