time delay,stg_pos,V_in,V_out,ratio,DVD
101.0,70.5005,-25.16039,-22.511775,-1.1179299999999999,3.4322065e-05
102.0,70.672675,-25.185579999999998,-22.528555,-1.1182349999999999,3.4458325000000004e-05
103.0,70.824275,-25.13691,-22.476535000000002,-1.11859,3.438182e-05
104.0,70.976,-25.084889999999998,-22.500035,-1.115095,3.451322e-05
105.0,71.12627499999999,-25.063025,-22.486595,-1.114835,3.4281995e-05
106.0,71.278175,-24.964025,-22.486610000000002,-1.11037,3.436288e-05
107.0,71.42695,-24.853265,-22.503405,-1.104575,3.4602454999999996e-05
108.0,71.57605,-24.78109,-22.505065000000002,-1.101375,3.4430620000000003e-05
109.0,71.72565,-24.720660000000002,-22.48158,-1.09972,3.4300009999999994e-05
110.0,71.8749,-24.61156,-22.547050000000002,-1.09175,3.4331665e-05
111.0,72.02525,-24.638435,-22.55208,-1.09274,3.4538640000000004e-05
112.0,72.17542499999999,-24.58301,-22.5806,-1.08882,3.444919e-05
113.0,72.3256,-24.569580000000002,-22.57559,-1.088555,3.463308e-05
114.0,72.47630000000001,-24.546065000000002,-22.577244999999998,-1.08734,3.4448745e-05
115.0,72.62604999999999,-24.48731,-22.531910000000003,-1.086975,3.428535e-05
116.0,72.77555,-24.468875,-22.545355,-1.085515,3.4399805e-05
117.0,72.92524999999999,-24.515885,-22.48998,-1.09029,3.4606665e-05
118.0,73.07485,-24.53098,-22.498350000000002,-1.09062,3.4423940000000004e-05
119.0,73.22515,-24.544395,-22.528570000000002,-1.089735,3.433762e-05
120.0,73.37627499999999,-24.566200000000002,-22.50844,-1.091585,3.454408e-05
121.0,73.526475,-24.557805000000002,-22.563835,-1.088595,3.4475880000000005e-05
122.0,73.677075,-24.59813,-22.525225,-1.0922800000000001,3.4523245e-05
123.0,73.82805,-24.72569,-22.53193,-1.097555,3.4567725e-05
124.0,73.976275,-24.762635,-22.530255,-1.09937,3.4436215e-05
125.0,74.12565,-24.883474999999997,-22.50844,-1.10572,3.440745e-05
126.0,74.275425,-24.950595,-22.508425,-1.108705,3.4397099999999996e-05
127.0,74.425075,-25.007645,-22.510115000000003,-1.11111,3.436176e-05
128.0,74.57480000000001,-25.047954999999998,-22.501735,-1.1132950000000001,3.4162690000000003e-05
129.0,74.725575,-25.068099999999998,-22.496675,-1.11456,3.4235645e-05
130.0,74.875975,-25.162115,-22.577265,-1.11474,3.430049e-05
131.0,75.02612500000001,-25.240959999999998,-22.55207,-1.11943,3.435208e-05
132.0,75.17512500000001,-25.197335,-22.540325000000003,-1.1180400000000001,3.438429e-05
133.0,75.32532499999999,-25.30142,-22.493355,-1.125075,3.452789e-05
134.0,75.475675,-25.28128,-22.557115000000003,-1.1209250000000002,3.4405060000000004e-05
135.0,75.624925,-25.311474999999998,-22.488275,-1.12577,3.429164e-05
136.0,75.77495,-25.291355,-22.515135,-1.123485,3.443292e-05
137.0,75.925625,-25.25782,-22.515135,-1.12196,3.453802e-05
138.0,76.075925,-25.25106,-22.547050000000002,-1.1200750000000002,3.4452375e-05
139.0,76.2269,-25.17888,-22.567175,-1.1159700000000001,3.438941e-05
140.0,76.376825,-25.23931,-22.48997,-1.122595,3.4431095e-05
141.0,76.525725,-25.09325,-22.541990000000002,-1.11339,3.4421295e-05
142.0,76.67564999999999,-25.098325,-22.563835,-1.1125500000000001,3.4417714999999995e-05
143.0,76.824975,-25.05634,-22.5269,-1.112475,3.449788e-05
144.0,76.9751,-24.990879999999997,-22.56548,-1.107755,3.450659e-05
145.0,77.125875,-24.92543,-22.60914,-1.1026500000000001,3.4442865e-05
146.0,77.276525,-24.87678,-22.56886,-1.102455,3.4398615e-05
147.0,77.42735,-24.831435,-22.52354,-1.1027749999999998,3.4420505e-05
148.0,77.577475,-24.73914,-22.540309999999998,-1.097785,3.4285395e-05
149.0,77.726125,-24.702180000000002,-22.48492,-1.09876,3.427313e-05
150.0,77.8754,-24.598135,-22.54703,-1.09122,3.4503185e-05
151.0,78.02535,-24.544425,-22.57388,-1.087545,3.4606250000000004e-05
152.0,78.17515,-24.562865,-22.53193,-1.0903399999999999,3.4653195e-05
153.0,78.3254,-24.512515,-22.481585000000003,-1.090545,3.458372e-05
154.0,78.47595,-24.467154999999998,-22.53527,-1.0859,3.4572775e-05
155.0,78.626425,-24.462165000000002,-22.57222,-1.08393,3.4449315000000003e-05
156.0,78.7782,-24.381610000000002,-22.538645,-1.081985,3.459558e-05
157.0,78.92682500000001,-24.452065,-22.55376,-1.0843,3.455204e-05
158.0,79.0755,-24.480585,-22.55374,-1.08567,3.4414255e-05
159.0,79.22552499999999,-24.477285000000002,-22.563825,-1.08493,3.4243285000000004e-05
160.0,79.3751,-24.522560000000002,-22.542025000000002,-1.0880100000000001,3.4511600000000003e-05
161.0,79.52507499999999,-24.54439,-22.55209,-1.088535,3.4619525000000005e-05
162.0,79.67580000000001,-24.61655,-22.562155,-1.0912000000000002,3.448899e-05
163.0,79.8256,-24.625,-22.55037,-1.092225,3.4565565e-05
164.0,79.97659999999999,-24.67368,-22.558785,-1.09402,3.434999e-05
165.0,80.1262,-24.779374999999998,-22.57224,-1.097985,3.4378555e-05
166.0,80.275425,-24.87842,-22.52861,-1.104485,3.447994e-05
167.0,80.42585,-24.89186,-22.558775,-1.10352,3.4494995e-05
168.0,80.574625,-24.90867,-22.542,-1.10518,3.4692835e-05
169.0,80.724775,-24.977484999999998,-22.5756,-1.106555,3.4727655e-05
170.0,80.87575000000001,-24.975805,-22.607480000000002,-1.104935,3.478589e-05
171.0,81.0261,-25.09999,-22.530260000000002,-1.1142699999999999,3.479127e-05
172.0,81.17647500000001,-25.022765,-22.553745,-1.109655,3.464282e-05
173.0,81.32755,-25.177195,-22.5655,-1.1159750000000002,3.4737265e-05
