time delay,stg_pos,V_in,V_out,ratio,DVD
101.0,70.5005,-21.722905,-21.066615000000002,-1.0311949999999999,3.4137174999999994e-05
102.0,70.673525,-21.677585,-21.113615000000003,-1.026735,3.412065e-05
103.0,70.824175,-21.704425,-21.115315000000002,-1.02793,3.412205e-05
104.0,70.9765,-21.597,-21.08173,-1.02449,3.4124909999999996e-05
105.0,71.1265,-21.434185,-21.08341,-1.01670064,3.419131e-05
106.0,71.27782499999999,-21.35196,-21.07835,-1.01305325,3.4071775e-05
107.0,71.42670000000001,-21.19419,-21.132080000000002,-1.002967265,3.4239204999999996e-05
108.0,71.575825,-21.113605,-21.137120000000003,-0.998900695,3.4289045e-05
109.0,71.72614999999999,-21.017924999999998,-21.165655,-0.993026405,3.4198305e-05
110.0,71.875175,-20.91054,-21.110275,-0.99058647,3.4070785e-05
111.0,72.0249,-20.76953,-21.192505,-0.980102915,3.4232935e-05
112.0,72.17555,-20.694,-21.10352,-0.9806383249999999,3.4113474999999996e-05
113.0,72.3256,-20.573159999999998,-21.179080000000003,-0.97141657,3.401298e-05
114.0,72.47647500000001,-20.49931,-21.143825,-0.9695792000000001,3.4005465e-05
115.0,72.626025,-20.43219,-21.15224,-0.96599302,3.4080035e-05
116.0,72.77485,-20.391875,-21.143845000000002,-0.9645246350000001,3.4094715000000005e-05
117.0,72.924825,-20.33814,-21.15728,-0.96129721,3.401103e-05
118.0,73.075,-20.331445,-21.142180000000003,-0.961662335,3.4326895e-05
119.0,73.225,-20.39859,-21.155594999999998,-0.964274455,3.4253975e-05
120.0,73.37604999999999,-20.4473,-21.175745,-0.9656366500000001,3.4190294999999997e-05
121.0,73.526725,-20.448945000000002,-21.08846,-0.9697372,3.4249325e-05
122.0,73.67692500000001,-20.50934,-21.090135,-0.9725006650000001,3.4210415e-05
123.0,73.82835,-20.62014,-21.15893,-0.9745713800000001,3.4049245e-05
124.0,73.97595,-20.744355,-21.172375,-0.979829645,3.4235930000000004e-05
125.0,74.126175,-20.824945,-21.140495,-0.9851223649999999,3.43173e-05
126.0,74.2755,-20.954185,-21.175735,-0.9895636449999999,3.4326035000000005e-05
127.0,74.424925,-21.06327,-21.14215,-0.99629748,3.42654e-05
128.0,74.57535,-21.093485,-21.10858,-0.999308855,3.4471745e-05
129.0,74.72552499999999,-21.27304,-21.157245,-1.005512955,3.4282855e-05
130.0,74.876375,-21.3872,-21.1875,-1.00944965,3.4397065e-05
131.0,75.02625,-21.509755000000002,-21.138805,-1.017585,3.423323e-05
132.0,75.17557500000001,-21.56175,-21.185785000000003,-1.0177817949999999,3.4173745e-05
133.0,75.3256,-21.702745,-21.111960000000003,-1.028015,3.4217455e-05
134.0,75.47565,-21.72962,-21.162275,-1.0268599999999999,3.4280825e-05
135.0,75.624975,-21.816895,-21.143845000000002,-1.0319049999999999,3.4347625e-05
136.0,75.775175,-21.811844999999998,-21.09852,-1.03384,3.4252635e-05
137.0,75.925375,-21.81518,-21.148895000000003,-1.03151,3.4292220000000005e-05
138.0,76.076325,-21.82362,-21.14552,-1.03212,3.443252e-05
139.0,76.22765000000001,-21.825295,-21.150555,-1.031955,3.4616105e-05
140.0,76.377325,-21.773265000000002,-21.185795000000002,-1.027795,3.4518385000000004e-05
141.0,76.525625,-21.722875,-21.174045,-1.02595,3.4478280000000004e-05
142.0,76.67542499999999,-21.67424,-21.179065,-1.0234299999999998,3.4247755000000005e-05
143.0,76.82487499999999,-21.526519999999998,-21.153865000000003,-1.017656175,3.4407645e-05
144.0,76.97485,-21.497980000000002,-21.17234,-1.015395,3.428922e-05
145.0,77.12552500000001,-21.3553,-21.192515,-1.007721235,3.4334465e-05
146.0,77.276725,-21.2311,-21.17573,-1.00265232,3.436602e-05
147.0,77.42699999999999,-21.182425000000002,-21.160625000000003,-1.00104835,3.436844e-05
148.0,77.57735,-20.96759,-21.12707,-0.9924924799999999,3.4293575e-05
149.0,77.72607500000001,-20.8921,-21.165640000000003,-0.9871022249999999,3.432738e-05
